"","caseId","justiceName","pitch_diff","petitioner_vote","justiceMQ","unpleasantDiff_totalWords","pleasantDiff_totalWords","docket","jquest_r","jquest_p","jwords_r","jwords_p"
"98","2004-023","RBGinsburg",-0.447835073,1,-1.697,-0.607476711,1.142263651,"03-636","72","56","1848","1611"
"99","2004-023","DHSouter",0.125257757,1,-1.698,1.866952896,0.504291773,"03-636","72","56","1848","1611"
"100","2004-023","AScalia",0.421973898,0,2.725,1.891767025,0.593200743,"03-636","72","56","1848","1611"
"101","2004-023","JPStevens",-0.51973834,1,-2.522,1.318257093,1.169332623,"03-636","72","56","1848","1611"
"102","2004-023","SDOConnor",-0.090868349,1,0.084,-1.869876862,1.408811569,"03-636","72","56","1848","1611"
"103","2004-024","WHRehnquist",-0.239177155,0,1.49,-4.542550087,-2.070023298,"03-633","47","73","1425","1704"
"104","2004-024","AScalia",-0.441455331,0,2.725,2.01079607,0.175438643,"03-633","47","73","1425","1704"
"105","2004-024","AMKennedy",-0.09097395,0,0.534,0.778816223,-1.869158864,"03-633","47","73","1425","1704"
"106","2004-025","SGBreyer",-0.032375088,1,-1.182,-0.207983494,-1.021947384,"02-1472","78","73","2178","1918"
"107","2004-025","SGBreyer",-0.032375088,1,-1.182,-0.207983494,-1.021947384,"02-1472","78","73","2178","1918"
"108","2004-025","AScalia",-0.268794486,1,2.725,-0.470085144,-1.803012133,"02-1472","78","73","2178","1918"
"109","2004-025","AScalia",-0.268794486,1,2.725,-0.470085144,-1.803012133,"02-1472","78","73","2178","1918"
"110","2004-025","RBGinsburg",-1.232741932,1,-1.697,1.005631447,0.120675564,"02-1472","78","73","2178","1918"
"111","2004-025","RBGinsburg",-1.232741932,1,-1.697,1.005631447,0.120675564,"02-1472","78","73","2178","1918"
"112","2004-025","SDOConnor",-0.32185909,1,0.084,-0.942894936,0.252324104,"02-1472","78","73","2178","1918"
"113","2004-025","SDOConnor",-0.32185909,1,0.084,-0.942894936,0.252324104,"02-1472","78","73","2178","1918"
"114","2004-025","AMKennedy",0.019499327,1,0.534,-0.917094707,4.255319118,"02-1472","78","73","2178","1918"
"115","2004-025","AMKennedy",0.019499327,1,0.534,-0.917094707,4.255319118,"02-1472","78","73","2178","1918"
"116","2004-025","DHSouter",0.36938675,1,-1.698,-3.05944705,0.169127941,"02-1472","78","73","2178","1918"
"117","2004-025","DHSouter",0.36938675,1,-1.698,-3.05944705,0.169127941,"02-1472","78","73","2178","1918"
