,caseId,justiceName,petac,respac,sgpetac,sgrespac,justiceMQ,petNumStat,respNumStat,lowerConservative,lowerConXjusticeMQ,unpleasantDiff_totalWords,pleasantDiff_totalWords,questionDifference,petVote
1770,2005-080,AScalia,3,1,1,0,2.72,9,3,0,0,-5.527065754,1.794871807,5,1
1771,2005-080,AMKennedy,3,1,1,0,0.441,9,3,0,0,2.266739368,-0.631479502,-6,1
1772,2008-032,AScalia,2,2,1,0,2.736,9,3,0,0,-5.355165482,0.087011576,2,1
1773,2008-044,AMKennedy,1,4,1,0,0.588,9,3,0,0,2.6592381,4.146910191,5,1
1774,2005-080,RBGinsburg,3,1,1,0,-1.467,9,3,0,0,8.666666985,2,6,0
1775,2008-051,CThomas,1,1,1,0,4.274,9,3,0,0,0,0,0,1
1776,2008-032,JPStevens,2,2,1,0,-2.545,9,3,0,0,5.418719292,2.46305418,3,0
1777,2005-028,JPStevens,12,10,0,0,-2.418,7,3,0,0,3.448275805,1.678765774,2,1
1778,2005-028,SGBreyer,12,10,0,0,-1.4,7,3,0,0,4.403594971,-1.364379168,-4,1
1779,2005-028,JGRoberts,12,10,0,0,1.568,7,3,0,0,1.775653839,-0.156950951,5,1
1780,2005-028,AMKennedy,12,10,0,0,0.441,7,3,0,0,3.16455698,3.16455698,7,1
1781,2005-028,DHSouter,12,10,0,0,-1.587,7,3,0,0,0,0,0,1
1782,2005-028,CThomas,12,10,0,0,4.341,7,3,0,0,0,0,0,0
1783,2005-028,RBGinsburg,12,10,0,0,-1.467,7,3,0,0,0.316586971,1.364338756,-5,1
1784,2005-028,AScalia,12,10,0,0,2.72,7,3,0,0,1.833014965,-0.168791294,-7,1
1785,2006-057,RBGinsburg,6,2,0,0,-1.577,3,7,1,-1.577000022,4.551319599,-1.800586462,-1,1
1786,2006-057,AScalia,6,2,0,0,2.797,3,7,1,2.796999931,-0.053493738,-1.371381879,15,1
1787,2006-057,SGBreyer,6,2,0,0,-1.478,3,7,1,-1.478000045,-3.429602861,-3.971119165,-12,1
1788,2006-057,JPStevens,6,2,0,0,-2.437,3,7,1,-2.437000036,0,0,0,1
1789,2006-057,DHSouter,6,2,0,0,-1.465,3,7,1,-1.465000033,-4.220779419,-1.948051929,-10,1
1790,2006-057,JGRoberts,6,2,0,0,1.607,3,7,1,1.606999993,-3.505644798,1.224004745,14,1
1791,2006-057,AMKennedy,6,2,0,0,0.435,3,7,1,0.435000002,7.692307472,-2.272727251,0,1
1792,2006-057,CThomas,6,2,0,0,4.396,3,7,1,4.395999908,0,0,0,1
1793,2006-057,SAAlito,6,2,0,0,1.608,3,7,1,1.60800004,0,0,0,1
1794,2006-043,AMKennedy,1,3,0,0,0.435,3,3,0,0,0.00873065,0.85123086,12,0
1795,2006-043,DHSouter,1,3,0,0,-1.465,3,3,0,0,-1.939393997,-0.969696999,4,0
1796,2007-021,DHSouter,2,2,0,0,-1.487,6,3,0,0,0.844444752,-2.566666603,1,0
1797,2007-060,SGBreyer,3,9,0,1,-1.354,7,3,0,0,-3.25248003,-3.982433081,-11,0
1798,2006-010,DHSouter,1,1,0,0,-1.465,6,3,0,0,1.108136177,-0.094823837,7,1
1799,2007-021,RBGinsburg,2,2,0,0,-1.564,6,3,0,0,-1.383822441,2.101359606,17,0
1800,2005-006,SGBreyer,0,0,0,0,-1.4,10,3,0,0,-4.775687218,-3.328509331,-16,1
1801,2005-005,SDOConnor,0,2,0,0,-0.027,6,3,0,0,-0.570939302,-2.026834011,3,0
1802,2007-060,JPStevens,3,9,0,1,-2.349,7,3,0,0,2.777777672,6.481481552,3,0
1803,2007-060,AScalia,3,9,0,1,2.755,7,3,0,0,1.56788063,0.000867605,-4,1
1804,2006-010,JGRoberts,1,1,0,0,1.607,6,3,0,0,0.016937733,-1.469342828,-9,1
1805,2007-021,JPStevens,2,2,0,0,-2.349,6,3,0,0,-10.41666698,-8.333333015,-2,0
1806,2008-080,AMKennedy,1,3,0,0,0.588,5,3,0,0,-0.166146755,1.591729641,4,1
1807,2006-010,AScalia,1,1,0,0,2.797,6,3,0,0,-2.391412258,1.185157657,-5,1
1808,2006-010,JPStevens,1,1,0,0,-2.437,6,3,0,0,2.477249622,2.763734341,0,1
1809,2005-006,AScalia,0,0,0,0,2.72,10,3,0,0,1.762947321,-0.688033104,-10,1
1810,2007-021,SAAlito,2,2,0,0,1.701,6,3,0,0,3.983926296,-2.215843678,0,0
1811,2006-043,JPStevens,1,3,0,0,-2.437,3,3,0,0,-1.721470356,-0.754352093,1,0
1812,2006-043,SGBreyer,1,3,0,0,-1.478,3,3,0,0,-0.936428547,1.069341063,3,0
1813,2005-040,RBGinsburg,6,3,0,0,-1.467,6,3,0,0,2.689972162,-0.58642149,3,1
1814,2006-010,RBGinsburg,1,1,0,0,-1.577,6,3,0,0,3.440366983,1.834862351,10,1
1815,2005-006,RBGinsburg,0,0,0,0,-1.467,10,3,0,0,0.037453175,2.537453175,2,1
1816,2005-005,AMKennedy,0,2,0,0,0.441,6,3,0,0,5.982905865,-33.33333206,8,0
1817,2006-043,AScalia,1,3,0,0,2.797,3,3,0,0,-4.701942921,0.650820494,13,0
1818,2008-080,SGBreyer,1,3,0,0,-1.11,5,3,0,0,2.93626976,0.54220891,1,0
1819,2007-060,AMKennedy,3,9,0,1,0.342,7,3,0,0,-0.740404129,3.929220438,-3,1
1820,2006-010,AMKennedy,1,1,0,0,0.435,6,3,0,0,0.923076868,-1.076923132,1,1
1821,2008-080,CThomas,1,3,0,0,4.274,5,3,0,0,0,0,0,0
1822,2008-080,JGRoberts,1,3,0,0,1.699,5,3,0,0,3.547713757,0.777840853,-8,1
1823,2005-040,JPStevens,6,3,0,0,-2.418,6,3,0,0,2.621284962,2.405106068,4,1
1824,2005-005,RBGinsburg,0,2,0,0,-1.467,6,3,0,0,-0.082830906,-1.572027683,2,0
1825,2007-021,SGBreyer,2,2,0,0,-1.354,6,3,0,0,4.965034962,-0.20979023,-9,0
1826,2008-080,RBGinsburg,1,3,0,0,-1.65,5,3,0,0,-4.748739243,-0.070376396,5,0
1827,2005-040,SGBreyer,6,3,0,0,-1.4,6,3,0,0,-3.203342676,-1.671309233,-24,1
1828,2007-060,CThomas,3,9,0,1,4.372,7,3,0,0,0,0,0,1
1829,2005-040,JGRoberts,6,3,0,0,1.568,6,3,0,0,3.704574108,0.058740616,1,1
1830,2007-060,SAAlito,3,9,0,1,1.701,7,3,0,0,3.592814445,2.351394653,2,0
1831,2005-005,DHSouter,0,2,0,0,-1.587,6,3,0,0,-2.023463249,0.699601889,5,0
1832,2007-060,RBGinsburg,3,9,0,1,-1.564,7,3,0,0,1.952603459,-0.258678436,11,0
1833,2005-040,AScalia,6,3,0,0,2.72,6,3,0,0,-1.729055405,1.408199549,-26,1
1834,2008-080,AScalia,1,3,0,0,2.736,5,3,0,0,-0.455465317,0.013802052,-10,1
1835,2006-010,CThomas,1,1,0,0,4.396,6,3,0,0,0,0,0,1
1836,2005-005,CThomas,0,2,0,0,4.341,6,3,0,0,0,0,0,0
1837,2007-060,DHSouter,3,9,0,1,-1.487,7,3,0,0,-0.964975357,2.726537943,4,0
1838,2005-006,JPStevens,0,0,0,0,-2.418,10,3,0,0,3.448275805,3.017241478,9,1
1839,2006-010,SAAlito,1,1,0,0,1.608,6,3,0,0,-3.448275805,-1.724137902,-3,1
1840,2005-006,SDOConnor,0,0,0,0,-0.027,10,3,0,0,0,-2.56410265,-3,1
1841,2007-021,AScalia,2,2,0,0,2.755,6,3,0,0,1.932198048,0.152341127,-15,1
1842,2006-043,CThomas,1,3,0,0,4.396,3,3,0,0,0,0,0,0
1843,2005-040,DHSouter,6,3,0,0,-1.587,6,3,0,0,-4.578519344,-2.139494896,3,1
1844,2005-005,JPStevens,0,2,0,0,-2.418,6,3,0,0,0,0,0,0
1845,2005-006,DHSouter,0,0,0,0,-1.587,10,3,0,0,0.257371426,1.119440317,14,1
1846,2005-040,CThomas,6,3,0,0,4.341,6,3,0,0,0,0,0,1
1847,2006-043,RBGinsburg,1,3,0,0,-1.577,3,3,0,0,2,2.121951103,2,0
